store_id,zone,state,city,pincode,p1DC,status,format
3689,West 1,Maharashtra,Washim,444505,SACU,OPERATIONAL,DIGITAL EXPRESS MINI
9649,East,West Bengal,Jaigaon,736182,SLLN,OPERATIONAL,Digital
T16J,South 2,Telangana,Anantpur,515004,R396,OPERATIONAL,Digital
6543,East,West Bengal,Kolkata,722410,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
3789,South 3,Kerala,Thripunithra,682301,SD78,OPERATIONAL,Digital
T53Y,East,Tripura,Agartala,799001,S597,OPERATIONAL,Digital
6843,North 1,Haryana,Ambala Ua,133001,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
8947,North 2,Uttar Pradesh,Kanpur,208001,SC28,OPERATIONAL,Digital
3617,South 2,Tamil Nadu,Bhavani,638183,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
6955,North 1,Punjab,Rajpura,140401,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
7961,South 2,Tamil Nadu,Tiruchirappalli,620002,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
7941,West 1,Maharashtra,Pune,411046,V014,OPERATIONAL,DIGITAL EXPRESS MINI
TO11,East,West Bengal,Howrah,711202,SLKO,OPERATIONAL,Digital
TW12,EAST,West Bengal,Siliguri,734005,SLLN,OPERATIONAL,DIGITAL EXPRESS MINI
7574,West 1,Maharashtra,Mumbai,400708,R696,OPERATIONAL,DIGITAL EXPRESS MINI
TGJ5,South 3,Kerala,Calicut,673006,SD78,OPERATIONAL,Digital
6336,South 1,Karnataka,Bangalore,560069,R396,OPERATIONAL,DIGITAL EXPRESS MINI
6409,West 1,Maharashtra,Nashik,422008,R696,OPERATIONAL,DIGITAL EXPRESS MINI
6382,South 1,Andhra Pradesh,Kakinada,533003,R804,OPERATIONAL,DIGITAL EXPRESS MINI
3576,West 2,Gujarat,Modasa,383315,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
6978,West 1,Goa,Panaji,403001,R396,OPERATIONAL,DIGITAL EXPRESS MINI
8829,South 2,Telangana,Hyderabad,500072,SE40,OPERATIONAL,Digital
6436,South 1,Telangana,Karimnagar,505001,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
TGM2,East,West Bengal,Krishnanagar,741101,SLKO,OPERATIONAL,Digital
8690,South 2,Andhra Pradesh,Tirupati,517501,SJ99,OPERATIONAL,Digital
9155,North 1,Delhi NCR,Delhi,110006,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
7986,West 1,Maharashtra,Mumbai,410210,R696,OPERATIONAL,DIGITAL EXPRESS MINI
TFF8,North 2,Uttar Pradesh,Jhansi,284128,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
TJQ9,South 2,Telangana,Hyderabad,500013,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
TV04,North 2,Uttar Pradesh,Lucknow,226003,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
7694,North 1,Delhi NCR,Delhi,110091,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
6880,North 1,Delhi NCR,Noida,201301,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
7617,East,West Bengal,Kolkata,700075,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
6127,South 2,Tamil Nadu,Tirupathur,635601,SJ99,OPERATIONAL,DIGITAL EXPRESS MINI
TJR0,South 2,Telangana,Hyderabad,500062,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
7762,West 1,Maharashtra,Mumbai,400605,R696,OPERATIONAL,DIGITAL EXPRESS MINI
6987,West 2,Madhya Pradesh,Guna,473001,S0GZ,OPERATIONAL,DIGITAL EXPRESS MINI
7740,West 1,Maharashtra,Nashik,422101,R696,OPERATIONAL,DIGITAL EXPRESS MINI
6246,South 2,Kerala,Kannur,670011,SD78,OPERATIONAL,DIGITAL EXPRESS MINI
8971,West,Maharashtra,Mumbai,400092,R696,OPERATIONAL,Digital
7552,West 1,Maharashtra,Mumbai,400086,R696,OPERATIONAL,DIGITAL EXPRESS MINI
7637,North 1,Delhi NCR,Faridabad,121002,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
8717,South 1,Karnataka,Bangalore,560011,R396,OPERATIONAL,Digital
3563,West 2,Gujarat,Bardoli,394601,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
7581,North 1,Delhi NCR,Gurgaon,122001,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
6392,West 1,Maharashtra,Mumbai,400078,R696,OPERATIONAL,DIGITAL EXPRESS MINI
6561,EAST,Odisha,Sambalpur,768004,R201,OPERATIONAL,DIGITAL EXPRESS MINI
7884,West 2,Rajasthan,Udaipur,313001,R810,OPERATIONAL,DIGITAL EXPRESS MINI
6887,South 1,Andhra Pradesh,Narasaraopet,522601,S0UG,OPERATIONAL,DIGITAL EXPRESS MINI
8737,West 1,Maharashtra,Mumbai,400701,R696,OPERATIONAL,DIGITAL EXPRESS MINI
3680,West 2,Madhya Pradesh,Itarsi,461111,S0GZ,OPERATIONAL,DIGITAL EXPRESS MINI
6350,South 1,Telangana,Sangareddy,502001,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
TEZ7,South 2,Telangana,Hyderabad,500036,SE40,OPERATIONAL,Digital
TG1N,South 1,Karnataka,Bangalore,,R396,OPERATIONAL,Digital
TP70,West 1,Chhattisgarh,Raipur,492001,S573,OPERATIONAL,DIGITAL EXPRESS MINI
TL27,South 1,Andhra Pradesh,Vishakhapatnam,530008,R804,OPERATIONAL,DIGITAL EXPRESS MINI
7728,West 1,Maharashtra,Kolhapur,416003,V014,OPERATIONAL,DIGITAL EXPRESS MINI
6631,West 2,Rajasthan,Alwar,301001,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
6891,North 2,Bihar,Purnia,854301,SLLN,OPERATIONAL,DIGITAL EXPRESS MINI
TY72,EAST,Odisha,Bhubaneshwar,751024,R201,OPERATIONAL,DIGITAL EXPRESS MINI
6260,North 1,Delhi NCR,Delhi,110043,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TQ26,West 2,Rajasthan,Jodhpur,342001,R810,OPERATIONAL,DIGITAL EXPRESS MINI
8464,West,Maharashtra,Mumbai,400706,R696,OPERATIONAL,Digital
3525,West 2,Gujarat,Ahmedabad,380024,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
3838,South 3,Kerala,Kottayam,686006,SD78,OPERATIONAL,Digital
8766,North 1,Rajasthan,Jaipur,302020,R810,OPERATIONAL,Digital
TKQ7,West,Maharashtra,Pune,411045,V014,OPERATIONAL,Digital
7567,East,West Bengal,Kolkata,700074,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
6355,North 2,Uttar Pradesh,Varanasi,221103,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
6597,West 1,Maharashtra,Hingoli,431701,V014,OPERATIONAL,DIGITAL EXPRESS MINI
7514,South 1,Karnataka,Bangalore,560066,R396,OPERATIONAL,DIGITAL EXPRESS MINI
6550,EAST,Odisha,Sambalpur,768005,R201,OPERATIONAL,DIGITAL EXPRESS MINI
9181,East,Assam,Tezpur,784001,S597,OPERATIONAL,DIGITAL EXPRESS MINI
T1XE,West 1,Maharashtra,Mumbai,400022,R696,OPERATIONAL,DIGITAL EXPRESS MINI
TC82,North 1,Delhi NCR,Greater Noida,201308,SJ93,OPERATIONAL,Digital
T79R,South 2,Tamil Nadu,Kanchipuram,,SJ99,OPERATIONAL,Digital
3706,South 2,Tamil Nadu,Theni,625531,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
TCW6,North 2,Uttar Pradesh,Lucknow,226002,SC28,OPERATIONAL,Digital
TSE9,North 2,Uttarakhand,Roorkee,247667,SLOR,OPERATIONAL,Digital
TDQ0,West,Maharashtra,Pune,411038,V014,OPERATIONAL,Digital
8943,South 3,Tamil Nadu,Madurai,625002,S0TC,OPERATIONAL,Digital
6439,North 2,Bihar,Muzaffarpur,842001,R394,OPERATIONAL,DIGITAL EXPRESS MINI
7945,West 2,Gujarat,Bhavnagar,364001,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
7820,West 2,Madhya Pradesh,Indore,452004,S0GZ,OPERATIONAL,DIGITAL EXPRESS MINI
TCJ6,South 1,Karnataka,Bangalore,560064,R396,OPERATIONAL,Digital
TU92,South 1,Karnataka,Bangalore,560100,R396,OPERATIONAL,Digital
TCO1,North 1,Rajasthan,Jaipur,302033,R810,OPERATIONAL,Digital
TEH0,East,West Bengal,Durgapur,713213,SLKO,OPERATIONAL,Digital
3744,North 2,Uttar Pradesh,Etah,207001,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
3683,West 1,Maharashtra,Pune,411041,V014,OPERATIONAL,DIGITAL EXPRESS MINI
T4QG,East,Odisha,Cuttack,,R201,OPERATIONAL,Digital
8789,North 1,Delhi NCR,Ghaziabad,201010,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TX33,East,Odisha,Bhubaneshwar,751024,R201,OPERATIONAL,Digital
6417,West 1,Maharashtra,Mumbai,400011,R696,OPERATIONAL,DIGITAL EXPRESS MINI
6951,North 1,Punjab,Batala,143505,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
9576,West 2,Gujarat,Bharuch,392210,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
7472,South 1,Karnataka,Bangalore,560093,R396,OPERATIONAL,DIGITAL EXPRESS MINI
