similargrouplevel,cluster_id,store_id
421001002,2,TV43
421001002,2,TLK2
421001002,2,T9QQ
421001002,2,T9NB
421001002,2,TWQT
421001002,2,TCR3
421001002,2,TXXP
421001002,2,TX1M
421001002,2,TO83
421001002,2,TLB3
421001002,2,TCX9
421001002,2,T9QO
421001002,2,TX8N
421001002,2,TWQN
421001002,2,T1I1
421001002,2,TDY7
421001002,2,TT20
421001002,2,8356
421001002,2,TFD8
421001002,2,TWSY
421001002,2,TO76
421001002,2,9430
421001002,2,TCG9
421001002,2,TA98
421001002,2,5969
421001002,2,TG0D
421001002,2,TDN4
421001002,2,TN96
421001002,2,TGD7
421001002,2,TQE5
421001002,2,T9XA
421001002,2,T61N
421001002,2,TU88
421001002,2,TEG2
421001002,2,5692
421001002,2,TPZ2
421001002,2,1981
421001002,2,T89F
421001002,2,TWWT
421001002,2,TTB4
421001002,2,TSM2
421001002,2,5734
421001002,2,T52D
421001002,2,TP25
421001002,2,TIR3
421001002,2,5686
421001002,2,1930
421001002,2,TZTQ
421001002,2,TW74
421001002,2,TFZ5
421001002,2,TW58
421001002,2,TKU1
421001002,2,TGI3
421001002,2,T0E9
421001002,2,TML7
421001002,2,T1DL
421001002,2,TQ17
421001002,2,8113
421001002,2,T826
421001002,2,TX42
421001002,2,1965
421001002,2,T825
421001002,2,5831
421001002,2,TU89
421001002,2,TJT9
421001002,2,TCN6
421001002,2,TS04
421001002,2,T86A
421001002,2,TW35
421001002,2,FR2Y
421001002,2,9406
421001002,2,TAPR
421001002,2,TP21
421001002,2,TDZ1
421001002,2,5744
421001002,2,1882
421001002,2,TWRW
421001002,2,TV33
421001002,2,TAFS
421001002,2,9661
421001002,2,TWTH
421001002,2,TU61
421001002,2,5966
421001002,2,TPK9
421001002,2,TI1T
421001002,2,TX3Z
421001002,2,TWRU
421001002,2,T27S
421001002,2,TK79
421001002,2,T3IM
421001002,2,5735
421001002,2,TO63
421001002,2,T1BH
421001002,2,TY5B
421001002,2,TCT6
421001002,2,T75E
421001002,2,8292
421001002,2,TTL3
421001002,2,TDT7
421001002,2,TWQP
421001002,2,T1QX
421001002,2,TX8H
421001002,2,TFC4
421001002,2,6147
421001002,2,TIR8
421001002,2,TSS9
421001002,2,T176
421001002,2,9618
421001002,2,8089
421001002,2,TW06
421001002,2,TJP4
421001002,2,TFV1
421001002,2,TX5S
421001002,2,TPU7
421001002,2,TPO3
421001002,2,TP10
421001002,2,TAQO
421001002,2,TR97
421001002,2,T41J
421001002,3,TX6A
421001002,3,TAZX
421001002,3,TX66
421001002,3,T80S
421001002,3,TZ79
421001002,3,TWVS
421001002,3,9409
421001002,3,TWTS
421001002,3,TCT0
421001002,3,TWUN
421001002,3,TST9
421001002,3,TZUP
421001002,3,TAZV
421001002,3,TAHW
421001002,3,TDF7
421001002,3,TIU7
421001002,3,TA13
421001002,3,TO40
421001002,3,TY6G
421001002,3,TXXJ
421001002,3,TKY0
421001002,3,TIR2
421001002,3,TAMX
421001002,3,TQD6
421001002,3,T926
421001002,3,T84C
421001002,3,TWTO
421001002,3,TSO0
421001002,3,TSY2
421001002,3,TQD3
421001002,3,TSV1
421001002,3,TSX4
421001002,3,TXP4
421001002,3,F1HD
421001002,3,TX4T
421001002,3,TIX2
421001002,3,8105
421001002,3,TWVM
421001002,3,TJD8
421001002,3,TX5K
421001002,3,TX1Q
421001002,3,TL05
421001002,3,T1QY
421001002,3,5790
421001002,3,TOG9
421001002,3,TN75
421001002,3,TX02
421001002,3,TH39
421001002,3,TWTY
421001002,3,TLJ4
421001002,3,TZ7Z
421001002,3,TX5M
421001002,3,TFS5
421001002,3,TGI1
421001002,3,TGA1
421001002,3,TLA3
421001002,3,TR87
421001002,3,TO27
421001002,3,TT18
421001002,3,TJP5
421001002,3,T35N
421001002,3,TY6F
421001002,3,FR2J
421001002,3,TWTX
421001002,3,TJV2
421001002,3,T150
421001002,3,T149
421001002,3,TSW2
421001002,3,T1RC
421001002,3,TV96
421001002,3,F1SH
421001002,3,TJV3
421001002,3,TDF1
421001002,3,T670
421001002,3,5758
421001002,3,TZ26
421001002,3,TX3V
421001002,3,TGD3
421001002,3,TCG8
421001002,3,T58M
421001002,3,TWVQ
421001002,3,TWUR
421001002,3,TCY1
421001002,3,T28A
421001002,3,FR1U
421001002,3,TZA4
421001002,3,TX5O
421001002,3,T33N
421001002,3,TWTC
421001002,3,T43C
421001002,3,TCN2
421001002,3,TY6L
421001002,3,TTR7
421001002,3,TO85
421001002,3,TGA7
421001002,3,TSQ4
421001002,3,TSN2
421001002,3,TH37
421001002,3,TSZ8
421001002,3,TSX6
421001002,3,T76M
421001002,3,T1CN
421001002,3,TX6N
421001002,3,TAQG
421001002,3,TX4J
421001002,3,TWVJ
421001002,3,TKD5
421001002,3,T722
421001002,3,TSW1
421001002,3,TTB3
421001002,3,TDO5
421001002,3,T502
421001002,3,TTQ2
421001002,3,TMJ8
421001002,3,TDJ3
421001002,3,TAPK
421001002,3,T9CY
421001002,3,TZTU
421001002,3,TM15
421001002,3,TJG6
421001002,3,T524
421001002,3,TTC9
421001002,3,T49V
421001002,3,TGA3
421001002,3,T632
421001002,3,TAL2
421001002,3,TAPI
421001002,3,TWVR
421001002,3,TGA0
421001002,3,TWA1
421001002,3,TXZN
421001002,3,TJC0
421001002,3,TDE8
421001002,3,S0AE
421001002,3,TDU7
421001002,3,FR1E
421001002,3,TWTQ
421001002,3,5815
421001002,3,TJK7
421001002,3,T630
421001002,3,TZ80
421001002,3,TX6L
