productid,title,brandname,imgcode,styletype,colorfamily,pattern,neckline,l1name,l2name,brickname,total_qty_sold,mrp,weekly_rate_of_sale,total_active_days
443002039_black,floral print straight kurta,fusion,20220927/bADZ/63332e6df997dd1f8d20a74e,straight,black,floral,round,Women,Ethnic Wear,Kurtas,205,599.0,1216,1.18
443007683_yellow,printed straight kurta,avaasa,20230203/qaus/63dcadb1f997dd708e368204,straight,yellow,indian,round,Women,Ethnic Wear,Kurtas,3207,799.0,1212,18.51
443007681_navy,floral print straight kurta,avaasa,20230118/uv0a/63c80376aeb269c651ea175a,basic,navy,floral,round,Women,Ethnic Wear,Kurtas,359,799.0,1196,2.10
441146395_peach,polka-dot print straight kurta,avaasa,20220803/w20x/62ea8ee4aeb26921afc2cc8c,straight,peach,polka,round,Women,Ethnic Wear,Kurtas,350,699.0,1195,2.05
443003204_black,floral print straight kurta,avaasa,20221018/QchC/634e49d5f997ddfdbd2ee245,straight,black,floral,round,Women,Ethnic Wear,Kurtas,394,699.0,1185,2.33
441146398_peach,floral print straight kurta,avaasa,20220720/qilb/62d6f92daeb26921af85fc47,straight,peach,floral,round,Women,Ethnic Wear,Kurtas,390,699.0,1185,2.30
443005457_navy,printed straight kurta,fusion,20221122/LYCg/637c6fc1aeb269659ca512e1,straight,navy,micro-print,collar,Women,Ethnic Wear,Kurtas,3202,899.0,1160,19.31
443002041_fuchsia,printed straight kurta,fusion,20221020/qdr9/6350ec63aeb269659c50900e,straight,pink,geometric,round,Women,Ethnic Wear,Kurtas,522,699.0,1153,3.17
443003244_blue,ikat print sleeveless straight kurta,avaasa,20221018/K6Rv/634edd08f997ddfdbd312463,straight,blue,ikat,mandarin,Women,Ethnic Wear,Kurtas,186,599.0,1142,1.14
443010440_ltgrey,men regular fit track pants,performax,20230919/gNEh/6509b9ebddf7791519e7848d,straight,grey,solid,,Men,Western Wear,Track Pants,330,999.0,1137,2.03
443009800_teal,printed round-neck kurta,avaasa,20230203/uDXL/63dce58caeb269c6510d60f8,straight,teal,indian,round,Women,Ethnic Wear,Kurtas,186,799.0,1122,1.16
443008959_pink,printed straight kurta,fusion,20221227/7nqN/63aa910baeb269659c0e9e32,straight,peach,geometric,round,Women,Ethnic Wear,Kurtas,1907,699.0,1117,11.95
467019348_black,women relaxed fit pants with elasticated waist,silverfly,20240129/Rilc/65b7a89d8cdf1e0df5d5fb38,pants,black,solid,,Women,Western Wear,Trousers & Pants,4918,1999.0,1110,31.00
443005461_black,straight kurta with mandarin collar,fusion,20221227/foWo/63aa917ef997ddfdbdfa531e,straight,black,solid,mandarin,Women,Ethnic Wear,Kurtas,522,699.0,1102,3.31
443002269_olivegreen,flat-font chinos with insert pockets,netplay,20221130/KECd/63873295f997ddfdbdac1468,chinos,olive,solid,,Men,Western Wear,Trousers & Pants,4865,1649.0,1098,31.00
