itemid,brandname,styletype,primarycolor,pattern,fabrictype,materialtype,sleeve,fit,neckline,imgcode,extension,mh_family_desc,mh_class_desc,brickname,mrp,total_qty,weekly_rate_of_sale,total_active_days
443036049_mustard,avaasa-mix-n-match,basic,mustard-yellow,indian,viscose,,3-4th,,round,20240328/6wj9/660588dd16fd2c6e6a879acf/-,jpg,ethnic-wear,topwear,kurtas,1497.86,9377,5520,11.89
441139601_olivegreen,teamspirit,stylised,olive,heathered,cotton,,short,regular,collar,20220419/PH5W/625dc18baeb26921af2983cc/-,jpg,active-wear,tops,t-shirts,649.0,9668,5472,12.37
441146854_black,dnmx,pants,black,washed,cotton,,,,,20240301/jDrW/65e193ee16fd2c6e6a30c284/-,jpg,casual-wear,bottoms,jeans,1049.0,9193,5428,11.85
443032928_grey,teamspirit,,,,,,,,,20240314/aRgy/65f30b9505ac7d77bbb56e53/-,jpg,active-wear,tops,t-shirts,926.71,9940,5417,12.84
441144825_green,dnmx,t-shirt,green,logo,cotton,,short,slim,collar,20220504/23hG/627182daf997dd03e2926631/-,jpg,casual-wear,tops,t-shirts,1198.0,9358,5375,12.19
443038487_mint,avaasa-mix-n-match,basic,mint,geometric,rayon,,3-4th,,round,20240328/De4S/66058bae16fd2c6e6a87ab13/-,jpg,ethnic-wear,topwear,kurtas,1283.57,7489,5355,9.79
441147348_jetblack,dnmx,pants,black,solid,denim,,,,,20220914/VtI0/6320db62aeb269dbb38847dd/-,jpg,western-wear,casual-wear,jeans,799.0,9173,5347,12.01
443037553_offwhite,fusion,stylised,off-white,,,,,,,20240327/DCAx/660439c205ac7d77bbdee911/-,jpg,ethnic-wear,topwear,kurtis,1069.29,8595,5311,11.33
441144824_rust,dnmx,t-shirt,rust,solid,cotton,,short,slim,collar,20220531/UNJW/62965a80aeb26921affe2541/-,jpg,casual-wear,tops,t-shirts,1198.0,9206,5306,12.14
441148966_black,dnmx,trousers,black,solid,cotton,,,,,20221006/6uRz/633effc2aeb269659c271b0f/-,jpg,western-wear,career-wear,trousers,2140.71,9047,5245,12.07
